50,05447,VT,EAST BERKSHIRE,72.706564,44.929798,94,0.000167
12,32040,FL,GLEN SAINT MARY,82.204056,30.286058,6467,0.0005
20,66507,KS,MAPLE HILL,96.018727,39.069456,796,0.000321
31,68445,NE,SWANTON,97.08055,40.384389,266,0.000169
28,39336,MS,LAWRENCE,89.272432,32.287614,86,0.000033
41,97522,OR,BUTTE FALLS,122.563801,42.549243,1115,0.000392
06,93238,CA,KERNVILLE,118.404723,35.755005,812,0.000027
53,98338,WA,GRAHAM,122.293648,47.024575,11136,0.002288
06,92260,CA,PALM CITY,116.366442,33.730842,31975,0.001074
13,31206,GA,WILSON AIRPORT,83.682303,32.780758,42528,0.006565
27,56567,MN,NEW YORK MILLS,95.404717,46.555867,3681,0.000841
22,71457,LA,NATCHITOCHES,93.091572,31.761688,23878,0.005658
56,82001,WY,CHEYENNE,104.796234,41.143719,33107,0.072989
51,22454,VA,HOWERTONS,76.837022,37.840429,1795,0.00029
06,92101,CA,SAN DIEGO,117.159316,32.71852,20265,0.000681
40,74339,OK,COMMERCE,94.872983,36.933063,2624,0.000834
28,39426,MS,CARRIERE,89.57793,30.617772,12978,0.005043
39,43067,OH,RAYMOND,83.364927,40.247321,576,0.000053
54,26818,WV,FISHER,78.988756,39.04796,1,1E-6
17,61547,IL,MAPLETON,89.718429,40.611699,2593,0.000227
42,19031,PA,FLOURTOWN,75.21148,40.106774,4284,0.000361
39,44708,OH,CANTON,81.424116,40.81196,25891,0.002387
42,18431,PA,HONESDALE,75.25279,41.579227,12655,0.001065
48,79562,TX,TUSCOLA,99.82439,32.234955,2980,0.000175
46,57448,SD,HOSMER,99.485745,45.568988,454,0.000652
36,12173,NY,STUYVESANT,73.761329,42.359572,1806,0.0001
51,24459,VA,MIDDLEBROOK,79.281165,38.024158,527,0.000085
39,44441,OH,NEGLEY,80.564497,40.774601,2222,0.000205
36,14886,NY,TRUMANSBURG,76.668145,42.520987,6379,0.000355
12,32038,FL,FORT WHITE,82.687938,29.92073,3439,0.000266
37,27253,NC,GRAHAM,79.381384,36.030967,19723,0.002975
39,43014,OH,DANVILLE,82.263855,40.455693,2033,0.000187
51,24530,VA,CALLANDS,79.628779,36.764748,2143,0.000346
06,91744,CA,INDUSTRY,117.934098,34.029428,77114,0.002591
20,67330,KS,ALTAMONT,95.298302,37.187298,1336,0.000539
27,56670,MN,REDBY,94.940409,47.868888,1394,0.000319
15,96701,HI,AIEA,157.933237,21.390795,43273,0.039047
05,72376,AR,PROCTOR,90.255026,35.083396,953,0.000405
04,85603,AZ,BISBEE,109.911736,31.408557,8471,0.002311
26,48101,MI,ALLEN PARK,83.212001,42.25223,31167,0.003353
39,45660,OH,PEEBLES,83.368698,38.986885,7298,0.000673
26,49007,MI,KALAMAZOO,85.613722,42.295688,44854,0.004825
36,13746,NY,CHENANGO FORKS,75.824236,42.263659,3833,0.000213
34,08722,NJ,BEACHWOOD,74.196145,39.930246,9324,0.001206
39,44822,OH,BUTLER,82.398984,40.543754,3870,0.000357
22,70458,LA,SLIDELL,89.771192,30.278411,28918,0.006853
19,51343,IA,GREENVILLE,95.058184,43.033348,630,0.000227
12,33444,FL,DELRAY BEACH,80.079321,26.456445,18450,0.001426
55,53569,WI,MONTFORT,90.44473,42.975745,1129,0.000231
42,15203,PA,CARSON,79.977556,40.425439,11012,0.000927
22,70789,LA,WILSON,91.065511,30.947325,77,0.000018
29,65648,MO,FAIR GROVE,93.142824,37.372143,2079,0.000406
12,33186,FL,MIAMI,80.408501,25.669437,43611,0.003371
19,50538,IA,FARNHAMVILLE,94.422623,42.269234,631,0.000227
12,32139,FL,GEORGETOWN,81.629783,29.403315,1839,0.000142
42,17252,PA,SAINT THOMAS,77.7908,39.924052,4109,0.000346
29,65583,MO,SAINT ROBERT,92.198944,37.817515,12431,0.002429
23,04268,ME,NORWAY,70.560135,44.212654,5258,0.004282
31,68957,NE,LAWRENCE,98.240243,40.27672,594,0.000376
21,42038,KY,EDDYVILLE,88.04939,37.066385,4402,0.001194
06,93263,CA,SHAFTER,119.280075,35.496994,12270,0.000412
20,66420,KS,DOVER,95.898547,39.019223,1220,0.000492
40,73537,OK,ELDORADO,99.645956,34.472744,742,0.000236
12,33409,FL,HAVERHILL,80.096347,26.713218,16142,0.001248
42,15483,PA,STOCKDALE,79.850103,40.082567,630,0.000053
50,05482,VT,SHELBURNE,73.217124,44.389967,5871,0.010433
27,55735,MN,FINLAYSON,92.938924,46.212111,1264,0.000289
31,68649,NE,NORTH BEND,96.781328,41.468924,1651,0.001046
05,71945,AR,HATFIELD,94.371397,34.487703,1048,0.000446
51,22090,VA,LAKE ANNE,77.337607,38.964439,12710,0.002054
31,68364,NE,GOEHNER,97.205456,40.830208,457,0.00029
08,80816,CO,FLORISSANT,105.226106,38.827669,2480,0.000753
17,61774,IL,STANFORD,89.216434,40.437575,996,0.000087
13,31742,GA,GRAVES,84.430782,31.759846,8731,0.001348
33,03864,NH,OSSIPEE,71.112873,43.694506,1490,0.001343
47,38066,TN,ROSSVILLE,89.567848,35.076758,3730,0.000765
34,07095,NJ,WOODBRIDGE,74.284542,40.555973,15827,0.002047
22,70632,LA,CREOLE,93.034874,29.797813,1023,0.000242
01,36579,AL,STOCKTON,87.863323,31.01293,1214,0.0003
36,14418,NY,BRANCHPORT,77.205165,42.606537,1126,0.000063
02,99630,AK,MEKORYUK,166.283583,60.365679,177,0.000322
06,93239,CA,KETTLEMAN CITY,119.964361,36.021501,1762,0.000059
31,68701,NE,NORFOLK,97.422898,42.032914,25728,0.0163
27,56525,MN,COMSTOCK,96.739752,46.666703,260,0.000059
12,32648,FL,HORSESHOE BEACH,83.261587,29.48689,652,0.00005
36,12943,NY,SAINT HUBERTS,73.795923,44.177978,392,0.000022
27,56542,MN,FOSSTON,95.743082,47.581584,2469,0.000564
35,88002,NM,WHITE SANDS MISS,106.49236,32.382669,2616,0.001727
51,23222,VA,RICHMOND,77.426725,37.574802,30214,0.004883
53,98332,WA,GIG HARBOR,122.600144,47.3607,9138,0.001878
48,78011,TX,CHARLOTTE,98.707001,28.864871,1990,0.000117
20,66067,KS,OTTAWA,95.274519,38.614247,13830,0.005582
29,63339,MO,CURRYVILLE,91.349301,39.325702,1604,0.000313
